"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","198208","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198209","0.727","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198210","0.703","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198211","0.756","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198212","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198213","10.786","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198301","0.995","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198302","0.841","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198303","0.957","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198304","1.013","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198305","1.135","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198306","1.088","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198307","0.96","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198308","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198309","0.727","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198310","0.703","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198311","0.756","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198312","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198313","10.786","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198401","0.995","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198402","0.841","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198403","0.957","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198404","1.013","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198405","1.135","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198406","1.088","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198407","0.96","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198408","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198409","0.727","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198410","0.703","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198411","0.756","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198412","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198413","10.786","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198501","0.995","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198502","0.841","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198503","0.957","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198504","1.013","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198505","1.135","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198506","1.088","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198507","0.96","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198508","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198509","0.727","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198510","0.703","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198511","0.756","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198512","0.805","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198513","10.786","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198601","0.995","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198602","0.841","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","198603","0.957","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
